Site,Year,Station,X,Y
Lapalala,2016,21,28.279057,-23.841678
Lapalala,2016,22,28.319722,-23.854463
Lapalala,2016,23,28.313966,-23.86935
Lapalala,2016,24,28.355885,-23.866036
Lapalala,2016,25,28.331236,-23.815452
Lapalala,2016,26,28.358098,-23.823517
Lapalala,2016,27,28.355803,-23.889362
Lapalala,2016,28,28.297534,-23.880239
Lapalala,2016,29,28.220346,-23.785928
Lapalala,2016,30,28.260543,-23.783651
Lapalala,2016,31,28.249096,-23.803467
Lapalala,2016,32,28.191953,-23.839505
Lapalala,2016,33,28.182715,-23.864893
Lapalala,2016,34,28.215785,-23.837142
Lapalala,2016,35,28.247708,-23.847712
Lapalala,2016,36,28.244327,-23.877703
Lapalala,2016,37,28.213712,-23.867689
Lapalala,2016,38,28.215709,-23.815133
Lapalala,2016,39,28.280322,-23.862556
Lapalala,2016,40,28.331216,-23.75716
Loskop,2016,1,29.27802,-25.37064
Loskop,2016,2,29.30434,-25.38368
Loskop,2016,3,29.32293,-25.37946
Loskop,2016,4,29.28916,-25.39685
Loskop,2016,5,29.32685,-25.39406
Loskop,2016,6,29.33679,-25.41898
Loskop,2016,7,29.34973,-25.40578
Loskop,2016,8,29.35516,-25.41983
Loskop,2016,9,29.31817,-25.40778
Loskop,2016,10,29.30215,-25.41668
Loskop,2016,11,29.29275,-25.43297
Loskop,2016,12,29.2819,-25.41982
Loskop,2016,13,29.25512,-25.43406
Loskop,2016,14,29.26854,-25.45295
Loskop,2016,15,29.24183,-25.45155
Loskop,2016,16,29.24317,-25.46864
Loskop,2016,17,29.2213,-25.45775
Loskop,2016,18,29.2629,-25.48309
Loskop,2016,19,29.23681,-25.49111
Loskop,2016,20,29.25503,-25.50103
Loskop,2016,21,29.28655,-25.46872
Loskop,2016,22,29.30576,-25.44873
Loskop,2016,23,29.23422,-25.50966
Loskop,2016,24,29.21292,-25.50943
Loskop,2016,25,29.19084,-25.50519
Loskop,2016,26,29.1739,-25.51139
Loskop,2016,27,29.22441,-25.48568
Loskop,2016,28,29.26861,-25.38711
Loskop,2016,29,29.29422,-25.3519
Loskop,2016,30,29.25645,-25.41818
Loskop,2016,31,29.26215,-25.51353
Loskop,2016,32,29.19811,-25.47043
Loskop,2016,33,29.18517,-25.52879
Loskop,2016,34,29.18834,-25.48804
Madikwe,2016,1,26.41435,-24.70411
Madikwe,2016,2,26.20335,-24.83127
Madikwe,2016,3,26.19687,-24.80976
Madikwe,2016,4,26.18515,-24.78744
Madikwe,2016,5,26.18203,-24.76571
Madikwe,2016,6,26.39475,-24.7246
Madikwe,2016,7,26.19702,-24.7358
Madikwe,2016,8,26.21674,-24.69872
Madikwe,2016,9,26.22627,-24.71713
Madikwe,2016,10,26.22261,-24.7425
Madikwe,2016,11,26.2284,-24.73616
Madikwe,2016,12,26.20917,-24.7705
Madikwe,2016,13,26.21829,-24.78461
Madikwe,2016,14,26.23468,-24.81167
Madikwe,2016,15,26.22138,-24.83562
Madikwe,2016,16,26.25053,-24.85077
Madikwe,2016,17,26.28078,-24.84924
Madikwe,2016,18,26.29276,-24.83997
Madikwe,2016,19,26.25363,-24.83921
Madikwe,2016,20,26.25448,-24.81629
Madikwe,2016,21,26.29637,-24.81179
Madikwe,2016,22,26.31813,-24.83231
Madikwe,2016,23,26.32935,-24.84934
Madikwe,2016,24,26.35169,-24.84603
Madikwe,2016,25,26.17974,-24.7475
Madikwe,2016,26,26.37814,-24.7079
Madikwe,2016,27,26.3624,-24.81709
Madikwe,2016,28,26.33624,-24.80898
Madikwe,2016,29,26.38386,-24.74321
Madikwe,2016,30,26.33013,-24.75807
Madikwe,2016,31,26.30784,-24.76251
Madikwe,2016,32,26.29009,-24.75297
Madikwe,2016,33,26.27378,-24.7423
Madikwe,2016,34,26.31107,-24.68558
Madikwe,2016,35,26.29769,-24.72892
Madikwe,2016,36,26.33346,-24.72233
Madikwe,2016,37,26.34499,-24.7495
Madikwe,2016,38,26.29586,-24.71149
Madikwe,2016,39,26.33278,-24.69777
Madikwe,2016,40,26.34967,-24.71965
Pilanesberg,2016,1,27.04834,-25.24527
Pilanesberg,2016,2,27.06821,-25.2198
Pilanesberg,2016,3,27.02525,-25.21528
Pilanesberg,2016,4,27.023,-25.23153
Pilanesberg,2016,5,27.00076,-25.23382
Pilanesberg,2016,6,26.99119,-25.25412
Pilanesberg,2016,7,26.97005,-25.2573
Pilanesberg,2016,8,27.00312,-25.28606
Pilanesberg,2016,9,27.02608,-25.27309
Pilanesberg,2016,10,27.05109,-25.27771
Pilanesberg,2016,11,27.03866,-25.308
Pilanesberg,2016,12,27.05626,-25.26215
Pilanesberg,2016,13,27.07795,-25.25931
Pilanesberg,2016,14,27.18053,-25.2912
Pilanesberg,2016,15,27.08059,-25.24055
Pilanesberg,2016,16,27.09607,-25.21687
Pilanesberg,2016,17,27.12496,-25.19865
Pilanesberg,2016,18,27.16347,-25.20883
Pilanesberg,2016,19,27.14903,-25.21182
Pilanesberg,2016,20,27.19774,-25.2165
Pilanesberg,2016,21,27.21992,-25.22632
Pilanesberg,2016,22,27.22128,-25.24139
Pilanesberg,2016,23,27.19867,-25.24786
Pilanesberg,2016,24,27.19656,-25.26253
Pilanesberg,2016,25,27.18568,-25.24725
Pilanesberg,2016,26,27.17215,-25.26789
Pilanesberg,2016,27,27.15804,-25.23258
Pilanesberg,2016,28,27.15085,-25.2505
Pilanesberg,2016,29,27.13678,-25.27173
Pilanesberg,2016,30,27.13116,-25.24243
Pilanesberg,2016,31,27.1082,-25.24093
Pilanesberg,2016,32,27.10585,-25.25961
Pilanesberg,2016,33,27.12791,-25.28473
Pilanesberg,2016,34,27.08995,-25.29544
Pilanesberg,2016,35,27.10642,-25.31054
Pilanesberg,2016,36,27.05773,-25.30626
Pilanesberg,2016,37,27.04887,-25.32092
Pilanesberg,2016,38,27.04681,-25.3349
Pilanesberg,2016,39,27.16021,-25.28809
Pilanesberg,2016,40,27.10819,-25.32543
Songimvelo,2016,1,30.90107,-26.02343
Songimvelo,2016,2,30.92214,-26.03342
Songimvelo,2016,3,30.95096,-26.03297
Songimvelo,2016,4,30.98605,-26.01941
Songimvelo,2016,5,30.91247,-26.00855
Songimvelo,2016,6,30.93449,-26.01307
Songimvelo,2016,7,30.96646,-26.02463
Songimvelo,2016,8,30.94012,-26.00617
Songimvelo,2016,9,30.95874,-26.0073
Songimvelo,2016,10,30.94959,-25.99235
Songimvelo,2016,11,30.9346,-25.99586
Songimvelo,2016,12,30.9184,-26.00491
Songimvelo,2016,13,30.92382,-25.97915
Songimvelo,2016,14,30.91425,-25.95374
Songimvelo,2016,15,30.95605,-25.97718
Songimvelo,2016,16,30.97938,-25.98356
Songimvelo,2016,17,30.9952,-25.97049
Songimvelo,2016,18,30.9929,-26.03937
Songimvelo,2016,19,31.05763,-25.99762
Songimvelo,2016,20,31.04767,-25.98029
Songimvelo,2016,21,31.00698,-25.95578
Songimvelo,2016,22,30.95261,-25.96521
Songimvelo,2016,23,30.96633,-25.99983
Songimvelo,2016,24,31.02677,-25.98638
Songimvelo,2016,25,31.00711,-25.97194
Songimvelo,2016,26,30.99117,-26.01349
Songimvelo,2016,27,30.91978,-25.97031
Venetia,2016,1,29.25069,-22.27776
Venetia,2016,2,29.26167,-22.28313
Venetia,2016,3,29.2955,-22.26351
Venetia,2016,4,29.32207,-22.27872
Venetia,2016,5,29.35912,-22.28015
Venetia,2016,6,29.34732,-22.29521
Venetia,2016,7,29.32591,-22.29563
Venetia,2016,8,29.29913,-22.2918
Venetia,2016,9,29.22566,-22.3034
Venetia,2016,10,29.25691,-22.31353
Venetia,2016,11,29.22977,-22.32885
Venetia,2016,12,29.25764,-22.31353
Venetia,2016,13,29.28239,-22.32102
Venetia,2016,14,29.31762,-22.31614
Venetia,2016,15,29.3473,-22.31965
Venetia,2016,16,29.34261,-22.33758
Venetia,2016,17,29.31015,-22.33018
Venetia,2016,18,29.2729,-22.34183
Venetia,2016,19,29.24613,-22.33937
Venetia,2016,20,29.21612,-22.35055
Venetia,2016,21,29.26249,-22.35855
Venetia,2016,22,29.29243,-22.35279
Venetia,2016,23,29.30667,-22.3619
Venetia,2016,24,29.32774,-22.34421
Venetia,2016,25,29.36233,-22.35319
Venetia,2016,26,29.3531,-22.37189
Venetia,2016,27,29.3279,-22.37704
Venetia,2016,28,29.27956,-22.3693
Venetia,2016,29,29.22091,-22.37787
Venetia,2016,30,29.2539,-22.37684
Venetia,2016,31,29.2867,-22.38819
Venetia,2016,32,29.34167,-22.38941
Venetia,2016,33,29.36824,-22.38772
Venetia,2016,34,29.4272,-22.41314
Venetia,2016,35,29.25147,-22.40236
Venetia,2016,36,29.31036,-22.40075
Venetia,2016,37,29.34269,-22.41479
Venetia,2016,38,29.3676,-22.42882
Venetia,2016,39,29.28096,-22.4419
Venetia,2016,40,29.26751,-22.47168
Welgevonden,2016,1,27.75684,-24.26297
Welgevonden,2016,2,27.88534,-24.22713
Welgevonden,2016,3,27.86644,-24.23677
Welgevonden,2016,4,27.84505,-24.24957
Welgevonden,2016,5,27.82605,-24.25032
Welgevonden,2016,6,27.78757,-24.20705
Welgevonden,2016,7,27.78878,-24.24585
Welgevonden,2016,8,27.8048,-24.28821
Welgevonden,2016,9,27.82328,-24.27884
Welgevonden,2016,10,27.85259,-24.2794
Welgevonden,2016,11,27.87312,-24.28081
Welgevonden,2016,12,27.88811,-24.30213
Welgevonden,2016,13,27.87001,-24.29428
Welgevonden,2016,14,27.83056,-24.30052
Welgevonden,2016,15,27.76666,-24.3136
Welgevonden,2016,16,27.79365,-24.29882
Welgevonden,2016,17,27.78517,-24.32202
Welgevonden,2016,18,27.80562,-24.31705
Welgevonden,2016,19,27.82371,-24.32258
Welgevonden,2016,20,27.84481,-24.31283
Welgevonden,2016,21,27.87667,-24.32244
Welgevonden,2016,22,27.8875,-24.31516
Welgevonden,2016,23,27.903,-24.31978
Welgevonden,2016,24,27.8482,-24.337
Welgevonden,2016,25,27.80145,-24.3395
Welgevonden,2016,26,27.73342,-24.2226
