TrapID	x	y		LeopardRAI	SpHyRAI	HumanRAI
Dinct29	631968.0112	7188369.141	/	0	0	14.39393939
Dinct30	634228.9916	7187525.955	/	0	0	14.70588235
Dinct31	636640.879	7187403.031	/	0	0	10.78431373
Dinct32	636159.9835	7189676.404	/	0	0	15.71428571
Dinct33	633873.2628	7189982.948	/	0	0	0
Dinct34	635136.6399	7190958.322	/	0	0	8
Dinct35	634543.1453	7192479.538	/	0	0	16.66666667
Dinct36	637038.1594	7194897.829	/	0	0	14.28571429
Ithct1	915674.5914	6951964.887	/	3.703703704	0	17.77777778
Ithct2	915596.4015	6949341.905	/	2.222222222	0	76.66666667
Ithct3	915940.7015	6944358.766	/	0.740740741	0	10.37037037
Ithct4	915706.7272	6941733.286	/	3.333333333	0	11.11111111
Ithct5	918527.5265	6940932.606	/	3.703703704	0.740740741	12.59259259
Ithct6	920218.1655	6943039.324	/	5.357142857	0	5.357142857
Ithct7	917708.4573	6945916.724	/	4.444444444	0.740740741	13.33333333
Ithct8	918841.1294	6949242.336	/	7.777777778	0	27.77777778
Ithct9	918928.9343	6951228.635	/	2.962962963	0	3.703703704
Ithct10	920455.6744	6954010.902	/	8.888888889	0	28.88888889
Ithct11	922835.875	6953823.479	/	3.333333333	0	23.88888889
Ithct12	921717.4111	6950057.666	/	2.222222222	1.111111111	11.11111111
Ithct13	921593.1842	6948321.378	/	1.111111111	0	10.55555556
Ithct14	921347.4087	6945444.081	/	1.481481481	0.740740741	7.407407407
Ithct15	923798.3897	6947031.041	/	4.651162791	0	34.10852713
Ithct16	924847.152	6949029.641	/	11.11111111	0	30
Ithct17	926125.3129	6954282.71	/	1.481481481	0	4.444444444
Ithct18	925160.7791	6945746.266	/	0	0	68.88888889
Ithct19	927841.6399	6947232.311	/	1.481481481	0	8.148148148
Ithct20	929301.6375	6944563.874	/	1.481481481	0	14.81481481
Ithct21	931221.9776	6955540.83	/	26.66666667	0	6.666666667
Ithct22	932564.5752	6954972.522	/	8.888888889	0	6.666666667
Ithct23	934813.9423	6955246.231	/	0.740740741	0	10.37037037
Ithct24	932560.53	6952584.191	/	6.111111111	0	3.333333333
Ithct25	935230.7921	6953198.389	/	4.444444444	0	8.148148148
Ithct26	931949.7289	6950183.954	/	3.333333333	0	14.44444444
Ithct27	934135.5733	6949557.793	/	2.962962963	0	14.81481481
Ithct28	932079.3328	6947599.821	/	3.333333333	0	6.666666667
Ithct29	924377.8059	6951374.18	/	1.481481481	0	12.59259259
Ithct30	926519.2949	6950488.847	/	0	0	2.222222222
Khact2	115265.8189	7193309.844	/	0	0	3.174603175
Khact3	116462.2872	7197024.054	/	0	0	6.666666667
Khact4	118888.5141	7197066.204	/	0	0	4.444444444
Khact5	120901.3549	7195805.681	/	0	0	2.962962963
Khact6	118296.2035	7194575.775	/	0	0	4.444444444
Khact7	123867.0894	7198626.391	/	0.740740741	3.703703704	2.962962963
Khact8	124020.968	7193111.045	/	1.111111111	0	6.666666667
Khact9	119274.5107	7192261.861	/	0	0.740740741	2.962962963
Khact10	121271.8375	7189344.107	/	0	0.740740741	12.59259259
Khact11	128260.3159	7182704.768	/	2.222222222	2.222222222	11.11111111
Khact12	131981.6027	7181421.518	/	0	0	4.444444444
Khact13	128419.8444	7179859.565	/	0	0	2.777777778
Khact14	129644.7831	7186614.641	/	1.111111111	0	4.444444444
Khact15	124689.3964	7178733.48	/	0	1.111111111	21.11111111
Khact16	119012.7498	7177795.141	/	2.222222222	2.222222222	5.925925926
Khact17	126771.478	7186126.721	/	0.854700855	0.854700855	3.418803419
Khact19	127444.9071	7175218.403	/	0	2.222222222	28.88888889
