LOC_ID,X_COORD,Y_COORD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,,LeopardRAI,SpHyRAI,HumanRAI,PreyRAI,ReserveSize,Impenetrable
Kwact29,454513.8297,6329654.585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.212005724,5.559415193,183,Yes
Kwact30,454104.0339,6327183.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.175272063,-0.279708729,183,Yes
Kwact31,452780.5952,6328531.377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.024808766,2.630992255,183,Yes
Kwact32,450658.8009,6328595.306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.415631998,-0.437098516,183,Yes
Kwact33,458092.4152,6337051.711,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,0.708005274,-0.346600667,-0.177015869,4.614984145,183,Yes
Kwact34,457458.1611,6339828.025,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,1.065294947,-0.346600667,-0.513668473,-0.218130405,183,Yes
Kwact35,448872.9303,6328153.224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.355080057,-0.225659787,183,Yes
Kwact36,449551.0996,6326649.429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.375112278,-0.311732508,183,Yes
Kwact37,451089.1962,6326288.29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.378207534,-0.297886078,183,Yes
Kwact38,452491.2799,6327019.468,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.168172279,-0.320045965,183,Yes
Kwact39,453235.6464,6333863.784,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.486541507,-0.262943436,183,Yes
Kwact40,458728.5472,6331991.702,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.058588668,-0.024876273,183,Yes
